Industry;Item;Process ;Year;Value
Shipping;ICE;Biodiesel;2030;1
Shipping;ICE;Biodiesel;2035;1
Shipping;ICE;Biodiesel;2040;1
Shipping;ICE;Biodiesel;2045;0,95
Shipping;ICE;Biodiesel;2050;0,9
Shipping;ICE;H2;2030;1,634843387
Shipping;ICE;H2;2035;1,636552045
Shipping;ICE;H2;2040;1,638260702
Shipping;ICE;H2;2045;1,556347667
Shipping;ICE;H2;2050;1,474434632
Shipping;ICE;MeOH;2030;1,014531022
Shipping;ICE;MeOH;2035;0,993826307
Shipping;ICE;MeOH;2040;0,973121592
Shipping;ICE;MeOH;2045;0,924465513
Shipping;ICE;MeOH;2050;0,875809433
Shipping;ICE;NH3;2030;1,680535404
Shipping;ICE;NH3;2035;1,527095215
Shipping;ICE;NH3;2040;1,373655026
Shipping;ICE;NH3;2045;1,304972275
Shipping;ICE;NH3;2050;1,236289523
Shipping;ICE;MGO;2030;1
Shipping;ICE;MGO;2035;1
Shipping;ICE;MGO;2040;1
Shipping;ICE;MGO;2045;0,95
Shipping;ICE;MGO;2050;0,9
Shipping;ICE;LNG;2030;2,21802935
Shipping;ICE;LNG;2035;2,193920335
Shipping;ICE;LNG;2040;2,169811321
Shipping;ICE;LNG;2045;2,061320755
Shipping;ICE;LNG;2050;1,952830189
